index,date_start,date_end,date,era,event,Source,type
37,-890,-890,890 BCE,Ancient & Classical,Approximate date for the composition of the Iliad and the Odyssey,,Politics & Power
38,-814,-814,814 BCE,Ancient & Classical,Foundation of Carthage by the Phoenicians in today known Tunisia,,Politics & Power
39,-800,-800,800 BCE,Ancient & Classical,Rise of Greek city-states,,Politics & Power
40,-785,-785,c. 785 BCE,Ancient & Classical,Rise of the Kingdom of Kush,,Politics & Power
41,-776,-776,776 BCE,Ancient & Classical,First recorded Ancient Olympic Games (according to Aristotle),,Politics & Power
42,-753,-753,753 BCE,Ancient & Classical,Founding of Rome (traditional date),,Politics & Power
43,-745,-745,745 BCE,Ancient & Classical,Tiglath-Pileser III becomes the new king of Assyria. With time he conquers neighboring countries and turns Assyria into an empire.,,Politics & Power
44,-728,-728,728 BCE,Ancient & Classical,Rise of the Median Empire.,,Politics & Power
45,-722,-722,722 BCE,Ancient & Classical,Spring and Autumn period begins in China. The era of the Hundred Schools of Thought.,,Politics & Power
46,-660,-660,660 BCE,Ancient & Classical,"Purported date of the accession of Jimmu, the mythical first Emperor of Japan.",,Politics & Power
47,-653,-653,653 BCE,Ancient & Classical,Rise of Persian Empire.,,Politics & Power
48,-612,-612,612 BCE,Ancient & Classical,"An alliance between the Babylonians, Medes, and Scythians succeeds in destroying Nineveh and causing subsequent fall of the Assyrian empire.",,Politics & Power
49,-600,-600,600 BCE,Ancient & Classical,Evidence of writing system appear in Oaxaca used by the Zapotec civilization.,,Science & Technology
50,-563,-563,563 BCE,Ancient & Classical,"Siddhartha Gautama (Buddha), founder of Buddhism is born as a prince of the Shakya tribe, which ruled parts of Magadha, one of the Maha Janapadas.",,Religion
51,-551,-551,551 BCE,Ancient & Classical,"Confucius, founder of Confucianism, is born.",,Politics & Power
52,-550,-550,550 BCE,Ancient & Classical,Foundation of the Persian Empire by Cyrus the Great.,,Politics & Power
53,-549,-549,549 BCE,Ancient & Classical,"Mahavira, founder of Jainism, is born.",,Politics & Power
54,-546,-546,546 BCE,Ancient & Classical,Cyrus the Great overthrows Croesus King of Lydia.,,Politics & Power
55,-544,-544,544 BCE,Ancient & Classical,Rise of Magadha as the dominant power under Bimbisara.,,Politics & Power
56,-539,-539,539 BCE,Ancient & Classical,The fall of the Babylonian Empire and liberation of the Jews by Cyrus the Great.,,Politics & Power
57,-529,-529,529 BCE,Ancient & Classical,Death of Cyrus,,Politics & Power
58,-525,-525,525 BCE,Ancient & Classical,Cambyses II of Persia conquers Egypt.,,Politics & Power
59,-512,-512,c. 512 BCE,Ancient & Classical,"Darius I (Darius the Great) of Persia, subjugates eastern Thrace, Macedonia submits voluntarily, and annexes Libya, Persian Empire at largest extent.",,Politics & Power
60,-509,-509,509 BCE,Ancient & Classical,"Expulsion of the last King of Rome, founding of Roman Republic (traditional date).",,Politics & Power
61,-508,-508,508 BCE,Ancient & Classical,Democracy instituted at Athens,,Politics & Power
62,-500,-500,c. 500 BCE,Ancient & Classical,Completion  of Euclid's Elements,,Politics & Power
63,-500,-500,500 BCE,Ancient & Classical,Panini standardizes the grammar and morphology of Sanskrit in the text Ashtadhyayi. Panini's standardized Sanskrit is known as Classical Sanskrit.,,Politics & Power
64,-500,-500,500 BCE,Ancient & Classical,Pingala uses zero and binary numeral system,,Politics & Power
65,-499,-499,499 BCE,Ancient & Classical,"King Aristagoras of Miletus incites all of Hellenic Asia Minor to rebel against the Persian Empire, beginning the Greco-Persian Wars.",,War & Conflict
66,-490,-490,490 BCE,Ancient & Classical,Greek city-states defeat Persian invasion at Battle of Marathon,,War & Conflict
67,-483,-483,483 BCE,Ancient & Classical,Death of Gautama Buddha,,Politics & Power
68,-480,-480,480 BCE,Ancient & Classical,Persian invasion of Greece by Xerxes,,War & Conflict
69,-479,-479,479 BCE,Ancient & Classical,Death of Confucius,,Politics & Power
70,-475,-475,475 BCE,Ancient & Classical,Warring States period begins in China as the Zhou king became a mere figurehead,,Politics & Power
71,-470,-469,470/469 BCE,Ancient & Classical,Birth of Socrates,,Politics & Power
72,-465,-465,465 BCE,Ancient & Classical,Murder of Xerxes,,Politics & Power
73,-460,-460,460 BCE,Ancient & Classical,Birth of Democritus,,Politics & Power
74,-458,-458,458 BCE,Ancient & Classical,"The Oresteia by Aeschylus, the only surviving trilogy of ancient Greek plays, is performed.",,Politics & Power
75,-449,-449,449 BCE,Ancient & Classical,The Greco-Persian Wars end.,,War & Conflict
76,-447,-447,447 BCE,Ancient & Classical,Building of the Parthenon at Athens started,,Culture & Arts
77,-432,-432,432 BCE,Ancient & Classical,Construction of the Parthenon is completed,,Culture & Arts
78,-431,-431,431 BCE,Ancient & Classical,Beginning of the Peloponnesian war between the Greek city-states,,War & Conflict
79,-429,-429,429 BCE,Ancient & Classical,Sophocles's play Oedipus Rex is first performed,,Politics & Power
80,-427,-427,427 BCE,Ancient & Classical,Birth of Plato,,Politics & Power
81,-404,-404,404 BCE,Ancient & Classical,End of the Peloponnesian War,,War & Conflict
82,-399,-399,399 BCE,Ancient & Classical,Death of Socrates,,Politics & Power
83,-384,-384,384 BCE,Ancient & Classical,Birth of Aristotle,,Politics & Power
84,-370,-370,370 BCE,Ancient & Classical,Death of Democritus,,Politics & Power
85,-331,-331,331 BCE,Ancient & Classical,"Alexander the Great defeats Darius III of Persia in the Battle of Gaugamela, completing his conquest of Persia.",,War & Conflict
86,-326,-326,326 BCE,Ancient & Classical,Alexander the Great defeats Indian king Porus in the Battle of the Hydaspes River.,,War & Conflict
87,-323,-323,323 BCE,Ancient & Classical,Death of Alexander the Great at Babylon.,,Politics & Power
88,-322,-322,322 BCE,Ancient & Classical,Death of Aristotle,,Politics & Power
89,-321,-321,321 BCE,Ancient & Classical,Chandragupta Maurya overthrows the Nanda Dynasty of Magadha.,,Politics & Power
90,-305,-305,305 BCE,Ancient & Classical,"Chandragupta Maurya seizes the satrapies of Paropanisadai (Kabul), Aria (Herat), Arachosia (Qanadahar) and Gedrosia (Baluchistan) from Seleucus I Nicator, in return for 500 elephants.",,Politics & Power
91,-300,-300,300 BCE,Ancient & Classical,"Construction of the Great Pyramid of Cholula, the world's largest pyramid by volume (despite the Great Pyramid of Giza being taller) begins in Cholula, Puebla, Mexico.",,Culture & Arts
92,-284,-246,284–246 BCE,Ancient & Classical,The Lighthouse of Alexandria is built during the reign of Ptolemy II. It exceeded 100 meters in overall height.,https://en.wikipedia.org/wiki/Lighthouse_of_Alexandria,Politics & Power
93,-280,-280,280 BCE,Ancient & Classical,The Colossus of Rhodes is built to celebrate the defence of Rhodes against Demetrius Poliorcetes,https://en.wikipedia.org/wiki/Colossus_of_Rhodes,Politics & Power
94,-273,-273,273 BCE,Ancient & Classical,Ashoka becomes the emperor of the Mauryan Empire,,Politics & Power
95,-261,-261,261 BCE,Ancient & Classical,Kalinga war,,War & Conflict
96,-255,-255,255 BCE,Ancient & Classical,Ashoka sends a Buddhist missionary led by his son who was Mahinda Thero (Buddhist monk) to Sri Lanka (then Lanka) Mahinda (Buddhist monk),,Religion
97,-232,-232,232 BCE,Ancient & Classical,Death of Emperor Ashoka,,Politics & Power
98,-221,-221,221 BCE,Ancient & Classical,"Qin Shi Huang unifies China, end of Warring States period; marking the beginning of Imperial rule in China which lasts until .. Construction of the Great Wall by the Qin Dynasty begins.",,War & Conflict
99,-206,-206,206 BCE,Ancient & Classical,"Han Dynasty established in China, after the death of Qin Shi Huang; China in this period officially becomes a Confucian state and opens trading connections with the West, i.e. the Silk Road.",,Politics & Power
100,-202,-202,202 BCE,Ancient & Classical,Scipio Africanus defeats Hannibal at Battle of Zama.,,War & Conflict
101,-200,-200,200 BCE,Ancient & Classical,Paper is invented in China.,,Science & Technology
102,-149,-146,149–146 BCE,Ancient & Classical,"Third Punic War between Rome and Carthage. War ends with the complete destruction of Carthage, allowing Rome to conquer modern day Tunisia and Libya.",,War & Conflict
103,-146,-146,146 BCE,Ancient & Classical,"Roman conquest of Greece, see Roman Greece",,Politics & Power
104,-121,-121,121 BCE,Ancient & Classical,Roman armies enter Gaul for the first time.,,Politics & Power
105,-80,-80,80 BCE,Ancient & Classical,The city of Florence is founded.,,Politics & Power
106,-49,-49,49 BCE,Ancient & Classical,Roman Civil War between Julius Caesar and Pompey the Great.,,War & Conflict
107,-44,-44,44 BCE,Ancient & Classical,Julius Caesar murdered by Marcus Brutus and others,,Politics & Power
108,-40,-40,40 BCE,Ancient & Classical,Roman conquest of Egypt.,,Politics & Power
109,-30,-30,30 BCE,Ancient & Classical,Cleopatra ends her reign as the last active ruler of the Ptolemaic Kingdom of Egypt,,Politics & Power
110,-27,-27,27 BCE,Ancient & Classical,Formation of Roman Empire:  Octavius is given titles of Princeps and Augustus by Roman Senate - beginning of Pax Romana. Formation of influential Praetorian Guard to provide security to Emperor,,Politics & Power
111,-18,-18,18 BCE,Ancient & Classical,Three Kingdoms period begins in Korea. The temple of Jerusalem is reconstructed.,,Religion
112,-6,-6,6 BCE,Ancient & Classical,Earliest theorized date for birth of Jesus of Nazareth. Roman succession:  Gaius Caesar and Lucius Caesar groomed for the throne.,,Politics & Power
113,-4,-4,4 BCE,Ancient & Classical,Widely accepted date (Ussher) for birth of Jesus Christ.,,Politics & Power
114,9,9,9,Ancient & Classical,"Battle of the Teutoburg Forest, the Imperial Roman Army's bloodiest defeat.",,War & Conflict
115,14,14,14,Ancient & Classical,"Death of Emperor Augustus (Octavian), ascension of his adopted son Tiberius to the throne.",,Politics & Power
116,26,34,26–34,Ancient & Classical,"Crucifixion of Jesus Christ, exact date unknown.",,Politics & Power
117,37,37,37,Ancient & Classical,"Death of Emperor Tiberius, ascension of his nephew Caligula to the throne.",,Politics & Power
118,40,40,40,Ancient & Classical,Rome conquers Morocco.,,Politics & Power
119,41,41,41,Ancient & Classical,Emperor Caligula is assassinated by the Roman senate. His uncle Claudius succeeds him.,,Politics & Power
120,43,43,43,Ancient & Classical,Rome enters Britain for the first time.,,Politics & Power
121,54,54,54,Ancient & Classical,Emperor Claudius dies and is succeeded by his grand nephew Nero.,,Politics & Power
122,68,68,68,Ancient & Classical,"Emperor Nero commits suicide, prompting the Year of the four emperors in Rome.",,Politics & Power
123,70,70,70,Ancient & Classical,Destruction of Jerusalem by the armies of Titus.,,Politics & Power
124,79,79,79,Ancient & Classical,Destruction of Pompeii by the volcano Vesuvius.,,Politics & Power
125,98,98,98,Ancient & Classical,"After a two-year rule, Emperor Nerva dies of natural causes, his adopted son Trajan succeeds him.",,Politics & Power
126,100,940,100–940,Ancient & Classical,Kingdom of Aksum in the Horn of Africa,,Politics & Power
127,106,117,106–117,Ancient & Classical,"Roman Empire at largest extent under Emperor Trajan after having conquered modern-day Romania, Iraq and Armenia.",,Politics & Power
128,117,117,117,Ancient & Classical,Trajan dies of natural causes. His adopted son Hadrian succeeds him. Hadrian pulls out of Iraq and Armenia.,,Politics & Power
129,126,126,126,Ancient & Classical,Hadrian completes the Pantheon in Rome.,,Politics & Power
130,138,138,138,Ancient & Classical,Hadrian dies of natural causes. His adopted son Antoninus Pius succeeds him.,,Politics & Power
131,161,161,161,Ancient & Classical,Death of Antoninus Pius. His rule was the only one in which Rome did not fight in a war.,,War & Conflict
132,161,161,161,Ancient & Classical,Marcus Aurelius becomes emperor of the Roman Empire. He is often ranked by historians as one of the greatest roman emperors.,,Politics & Power
133,180,180,180,Ancient & Classical,Reign of Marcus Aurelius officially ends.,,Politics & Power
134,180,181,180–181,Ancient & Classical,Commodus becomes Roman Emperor.,,Politics & Power
135,200,250,200s,Ancient & Classical,The Buddhist Srivijaya Empire established in Maritime Southeast Asia.,,Religion
136,220,220,220,Ancient & Classical,Three Kingdoms period begins in China after the fall of Han Dynasty.,,Politics & Power
137,226,226,226,Ancient & Classical,Fall of the Parthian Empire and Rise of the Sassanian Empire.,,Politics & Power
138,280,280,280,Ancient & Classical,Emperor Wu established Jin Dynasty providing a temporary unity of China after the devastating Three Kingdoms period.,,Politics & Power
139,285,285,285,Ancient & Classical,Diocletian becomes emperor of Rome and splits the Roman Empire into Eastern and Western Empires.,,Politics & Power
140,285,285,285,Ancient & Classical,Diocletian begins a large-scale persecution of Christians.,,Religion
141,292,292,292,Ancient & Classical,The capital of the Roman empire is officially moved from Rome to Mediolanum (modern day Milan).,,Politics & Power
142,313,313,313,Ancient & Classical,Edict of Milan declared that the Roman Empire would tolerate all forms of religious worship.,,Politics & Power
143,325,325,325,Ancient & Classical,Constantine I organizes the First Council of Nicaea.,,Politics & Power
144,330,330,330,Ancient & Classical,Constantinople is officially named and becomes the capital of the eastern Roman Empire.,,Politics & Power
145,335,335,335,Ancient & Classical,Samudragupta becomes the emperor of the Gupta empire.,,Politics & Power
146,337,337,337,Ancient & Classical,"Emperor Constantine I dies, leaving his sons Constantius II, Constans I, and Constantine II as the emperors of the Roman empire.",,Politics & Power
147,337,361,337–361,Ancient & Classical,Perso-Roman wars between the Roman Empire and the Sasanian Empire.,,War & Conflict
148,350,350,350,Ancient & Classical,Constantius II is left sole emperor with the death of his two brothers.,,Politics & Power
149,354,354,354,Ancient & Classical,Birth of Augustine of Hippo,,Politics & Power
150,361,361,361,Ancient & Classical,"Constantius II dies, his cousin Julian succeeds him.",,Politics & Power
151,378,378,378,Ancient & Classical,"Battle of Adrianople, Roman army is defeated by the Germanic tribes.",,War & Conflict
152,380,380,380,Ancient & Classical,Roman Emperor Theodosius I declares the Arian faith of Christianity heretical.,,Religion
153,395,395,395,Ancient & Classical,Theodosius I outlaws all religions other than Catholic Christianity.,,Religion
154,380,420,c. 400,Medieval,Highland Maya fall to the lowland city of Teotihuacan. Begins the decline of Maya culture and language in some parts of the highlands. ,,Politics & Power
155,405,405,405,Medieval,St. Jerome finished the Vulgate. The Christian Gospel is translated into Latin. ,,Religion
156,406,406,406,Ancient & Classical,Romans are expelled from Britain.,,Politics & Power
157,407,409,407–409,Ancient & Classical,Visigoths and other Germanic tribes cross into Roman-Gaul for the first time.,,Politics & Power
159,410-08-24,410-08-24,24 August 410,Medieval,"Rome is sacked by Alaric, King of the Visigoths. Decisive event in the decline of the Western Roman Empire. ",,Politics & Power
160,415,415,415,Ancient & Classical,Germanic tribes enter Spain.,,Politics & Power
161,429,429,429,Ancient & Classical,Vandals enter North Africa from Spain for the first time,,Politics & Power
162,431-06-22,431-07-31,22 June – 31 July 431,Medieval,"The Council of Ephesus confirmed the original Nicene Creed, and condemned the teachings of Nestorius, Patriarch of Constantinople, that led to his exile and separation with the Church of the East. ",,Religion
163,439,439,439,Ancient & Classical,Vandals have conquered the land stretching from Morocco to Tunisia by this time.,,Politics & Power
164,455,455,455,Ancient & Classical,"Vandals sack Rome, capture Sicily and Sardinia.",,Politics & Power
165,455-06-02,455-06-02,2 June 455,Medieval,"Rome is sacked by Genseric, King of the Vandals. Another decisive event in the Fall of Rome and held by some historians to mark the `end of the Roman Empire`",,Politics & Power
166,476,476,476,Ancient & Classical,"Romulus Augustus, last Western Roman Emperor is forced to abdicate by Odoacer, a chieftain of the Germanic Heruli",,Politics & Power
167,476-09-04,476-09-04,4 September 476,Medieval,Odoacer deposes the Roman Emperor Romulus Augustulus. Considered by some historians to be the starting point of the Middle Ages.,,Politics & Power
168,480-04-25,480-04-25,25 April 480,Medieval,"Death of Julius Nepos, last Roman Emperor to be recognized as such by the Roman Senate and the Eastern court. Considered by some historians to be the starting point of the Middle Ages.",,Politics & Power
169,480,520,c. 500,Medieval,Tikal becomes the first great Maya city. Significant cultural exchange between the Maya of Tikal and the citizens of Teotihuacan.,,Politics & Power
170,480,520,c. 500,Medieval,Battle of Mons Badonicus. The West Saxon advance is halted by Britons in England. Chiefly known today for the supposed involvement of King Arthur but information is very limited.,,War & Conflict
171,507-01-01,507-03-31,Spring 507,Medieval,The Franks under Clovis defeat the Visigoths in the Battle of Vouillé. The Visigoths retreated into Spain. ,,War & Conflict
172,520,530,c. 524,Medieval,Boethius writes his Consolation of Philosophy. It has been described as the single most important and influential work in the West on Medieval and early Renaissance Christianity. ,,Religion
173,525,525,525,Medieval,"Dionysius Exiguus publishes the Dionysius Exiguus' Easter table. This initiated the Anno Domini era, used for the Gregorian and Julian calendars. ",,Science & Technology
174,527-08-01,527-08-01,1 August 527,Medieval,Justinian I becomes Eastern Roman Emperor. Justinian is best remembered for his Code of Civil Law and expansion of imperial territory retaking Rome from the Ostrogoths. ,,Politics & Power
175,529,534,529–534,Medieval,Justinian I publishes the Code of Civil Law. This compiled centuries of legal writings and imperial pronouncements into three parts of one body of law.,,Politics & Power
176,529,529,529,Medieval,"Benedict of Nursia founds monastery at Monte Cassino. The first of twelve monasteries founded by Saint Benedict, beginning the Order of Saint Benedict.",,Religion
177,532-01-01,532-01-01,1 January 532,Medieval,Nika riots in Constantinople. Nearly half the city is burned down or destroyed and tens of thousands of people are killed.,,Politics & Power
178,533-12-15,533-12-15,15 December 533,Medieval,"Byzantines, under Belisarius, retake North Africa from the Vandals. Vandal kingdom ends and the Reconquest of North Africa is completed. ",,Politics & Power
179,535,554,535–554,Medieval,Gothic War in Italy as a part of Justinian's Reconquest. Byzantines retook Italy but crippled the Byzantine economy and left Italy unable to cope against the oncoming Lombards.,,War & Conflict
180,563,563,563,Medieval,Saint Columba founds mission in Iona. Constructed an abbey which helped convert the Picts to Christianity until it was destroyed and raided by the Vikings in 794.,,Religion
181,568,568,568,Medieval,The Kingdom of the Lombards is founded in Italy. Survived in Italy until the invasion of the Franks under Charlemagne. ,,War & Conflict
182,560,580,c. 570,Medieval,"Muhammad is born. Professed receiving revelations from a god, which were recorded in the Quran, the basis of Islamic theology, in which he is regarded as the last of the sent prophets.",,Religion
183,577,577,577,Medieval,"The West Saxons continue their advance at the Battle of Deorham. Led to the permanent separation of Cornwall, England from Wales. ",,War & Conflict
184,581-03-04,618-05-23,04 March 581 – 23 May 618,Medieval,Sui dynasty in China. China unified once again during this period after more than three centuries of fragmentation.,,Politics & Power
185,590-09-03,590-09-03,3 September 590,Medieval,Gregory the Great becomes Pope. The missionary work reached new levels during his reign and he revolutionized the way of worship for the Catholic Church.,,Science & Technology
186,597,597,597,Medieval,Augustine arrives in Kent. Christianization of England (Anglo-Saxons) begins.,,Religion
187,598,668,598–668,Medieval,"Massive Chinese (Sui and Tang) invasions against Korean Goguryeo. Contributed to the fall of the Sui dynasty, and Goguryeo fell under the forces of the Tang and Silla.",,War & Conflict
188,580,620,c. 600,Medieval,Deliberate fires set for unknown reasons destroy major buildings in Teotihuacan. Destroys the Teotihuacan civilization and empire. Tikal is now the largest city-state in Mesoamerica.,,Politics & Power
189,602,629,602–629,Medieval,Last great Roman–Persian War. Long conflict leaves both empires exhausted and unable to cope with the newly united Arab armies under Islam in the 630s,,War & Conflict
190,604,609,604–609,Medieval,Grand Canal in China is fully completed Its main role throughout its history was the transport of grain to the capital.,,Politics & Power
191,618-06-01,907-06-18,01 June 618 – 18 June 907,Medieval,Tang dynasty in China. The essential administrative system established during this dynasty shaped Chinese governance for generations.,,Politics & Power
192,622-09-09,622-09-23,9 September – 23 September 622,Medieval,"Muhammad migrates from Mecca to Medina. Event will have designated first year of the Islamic calendar, as Anno Hegirae. ",,Science & Technology
193,626,626,626,Medieval,"Joint Persian–Avar–Slav Siege of Constantinople. Constantinople saved, Avar power broken and Persians henceforth on the defensive ",,War & Conflict
194,627-12-12,627-12-12,12 December 627,Medieval,"Battle of Nineveh. The Byzantines, under Heraclius, crush the Persians. ",,War & Conflict
195,632-06-08,632-06-08,8 June 632,Medieval,Death of Muhammad,,Politics & Power
196,632,668,632–668,Medieval,Establishment and expansion of Old Great Bulgaria. The demise of Old Great Bulgaria lead to the founding of the First Bulgarian Empire and Volga Bulgaria by the sons of Kubrat.,,Politics & Power
197,632-06-08,632-06-08,8 June 632,Medieval,Accession of Abu Bakr as first Caliph. Though the period of his caliphate was not long it included successful invasions of the two most powerful empires of the time.,,War & Conflict
198,633,634,633–634,Medieval,Battle of Heavenfield. Northumbrian army under Oswald defeat Welsh army.,,War & Conflict
199,638,638,638,Medieval,"Jerusalem captured by the Arab army, mostly Muslims, but with contingents of Syrian Christians.",,War & Conflict
200,641,641,641,Medieval,Battle of Nahavand. Muslims conquer Persia.,,War & Conflict
201,643,643,643,Medieval,Arab Army led by Amr ibn al-As takes Alexandria.,,War & Conflict
202,645,645,645,Medieval,"In Japan, the Soga clan falls. This initiates a period of imitation of Chinese culture, The Nara period begins a year later. ",,Politics & Power
203,650,650,650,Medieval,Slav occupation of Balkans complete.,,Politics & Power
204,630,670,c. 650,Medieval,The city-state Xochicalco is founded by the Olmeca–Xicallanca. Becomes an important cultural and commercial center.,,Politics & Power
205,653,653,653,Medieval,Arab force under Muslim general Muawiyah I conqueres Rhodes and destroys the Collosus of Rhodes.,https://en.wikipedia.org/wiki/Colossus_of_Rhodes,Politics & Power
206,663,663,663,Medieval,Synod of Whitby. Roman Christianity triumphs over Celtic Christianity in England.,,Religion
207,668,668,668,Medieval,"End of the Three Kingdoms period in Korea. Unified Silla was established, which shortly led to the North–South States Period.",,Politics & Power
208,674,678,674–678,Medieval,First Arab siege of Constantinople. First time Islamic armies defeated forestalling Islamic conquest of Europe.,,War & Conflict
209,681,681,681,Medieval,Establishment of the Bulgarian Empire.,,Politics & Power
210,685,685,685,Medieval,Battle of Dun Nechtain. Picts defeat Northumbrians whose dominance ends.,,War & Conflict
211,687,687,687,Medieval,Battle of Tertry Established Pepin of Herstal as mayor over the entire realms of Neustria and Austrasia which further dwindled Merovingian power.,,War & Conflict
212,698,698,698,Medieval,Arab army takes Carthage. End of Byzantine rule in North Africa,,War & Conflict
213,698,698,698,Medieval,North–South States Period begins in Korea. Silla and Balhae coexisted in the south and north of the peninsula respectively until 926,,Politics & Power
214,711,711,711,Medieval,Umayyad conquest of Hispania under Tarik. Will begin a period of Muslim rule within in the Al-Andalus (with various portions of Iberian peninsula) until nearly the end of the Fifteenth Century.,,Politics & Power
215,718,718,718,Medieval,"Second Arab attack on Constantinople, ending in failure. The combined Byzantine–Bulgarian forces stop the Arab threat in Southeastern Europe.",,Politics & Power
216,726,726,726,Medieval,"Iconoclast movement begun in the Byzantine Empire under Leo III. This was opposed by Pope Gregory II, and an important difference between the Roman and Byzantine churches.",,Religion
217,732-10-01,732-10-01,October 732,Medieval,Battle of Tours. Charles Martel halts Muslim advance which led to the forming of the Carolingian Empire for the Franks and halted the advancement of the Moors in southwestern Europe.,,War & Conflict
218,735-05-26,735-05-26,26 May 735,Medieval,Death of Bede. Bede was later regarded as the father of English history ,,Politics & Power
219,750-01-25,750-01-25,25 January 750,Medieval,"Beginning of Abbasid Caliphate. It would become the longest-lasting caliphate, eventually falling when conquered and annexed into the Ottoman Empire.",,Politics & Power
220,751,751,751,Medieval,Pepin the Short founds the Carolingian dynasty.,,Politics & Power
221,754,754,754,Medieval,Pepin promises the Pope central Italy. This is arguably the beginning of the temporal power of the Papacy.,,Religion
222,768,768,768,Medieval,Beginning of Charlemagne's reign.,,Politics & Power
223,778-08-15,778-08-15,15 August 778,Medieval,Battle of Roncevaux Pass.,,War & Conflict
224,786-09-14,786-09-14,14 September 786,Medieval,Accession of Harun al-Rashid to the Caliphate in Baghdad.,,Politics & Power
225,793,793,793,Medieval,"Viking attacks on Britain begin with the Sack of Lindisfarne. The Viking Age will span over two centuries. There influence will reach Hispania, to the Byzantine Empire, and present day Russia. ",,Politics & Power
